1100 Block of PIERCE ST,39,2,4,11,ASSAULT,15040,11/20/2013 0:00,Wednesday,INFLICT INJURY ON COHABITEE,130982702,1/1/1900 7:20,2013,37.78056128,-122.4354539,PARK,"ARREST, BOOKED",97,0,Western Addition,"-122.4354539, 37.78056128",1
1600 Block of FELL ST,18,1,7,11,OTHER OFFENSES,65016,5/1/2011 0:00,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",110353286,1/1/1900 17:00,2011,37.77315588,-122.4450865,PARK,"ARREST, CITED",24,3,Lone Mountain/USF,"-122.4450865, 37.77315588",1
400 Block of GEARY ST,36,2,6,3,ASSAULT,4134,8/20/2008 0:00,Wednesday,BATTERY,80877164,1/1/1900 3:15,2008,37.78698819,-122.4106997,CENTRAL,NONE,20,0,Tenderloin,"-122.4106997, 37.78698819",1
RUTLAND ST / VISITACION AV,40,2,9,9,ROBBERY,3014,10/16/2008 0:00,Thursday,"ROBBERY ON THE STREET, STRONGARM",81107532,1/1/1900 17:00,2008,37.71144774,-122.4079282,INGLESIDE,NONE,75,0,Visitacion Valley,"-122.4079282, 37.71144774",1
16TH ST / SANCHEZ ST,5,1,3,5,LARCENY/THEFT,6243,1/27/2005 0:00,Thursday,PETTY THEFT FROM LOCKED AUTO,50131360,1/1/1900 23:20,2005,37.76437256,-122.4308826,MISSION,NONE,38,0,Castro/Upper Market,"-122.4308826, 37.76437256",1
800 Block of BRYANT ST,34,2,1,10,LARCENY/THEFT,6374,11/13/2011 0:00,Sunday,GRAND THEFT OF PROPERTY,116144720,1/1/1900 12:30,2011,37.77542071,-122.4034048,SOUTHERN,NONE,32,0,South of Market,"-122.4034048, 37.77542071",1
1000 Block of UNION ST,32,1,6,6,ROBBERY,3413,7/24/2010 0:00,Saturday,ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON,100676026,1/1/1900 0:35,2010,37.79962513,-122.4161372,CENTRAL,NONE,107,0,Russian Hill,"-122.4161372, 37.79962513",1
2300 Block of SCOTT ST,30,1,4,6,ASSAULT,4134,1/22/2011 0:00,Saturday,BATTERY,110068247,1/1/1900 18:14,2011,37.79142478,-122.4393319,RICHMOND,NONE,102,0,Pacific Heights,"-122.4393319, 37.79142478",1
1100 Block of EUCALYPTUS DR,16,2,10,8,ASSAULT,4012,10/3/2003 0:00,Friday,AGGRAVATED ASSAULT WITH A KNIFE,31165706,1/1/1900 12:10,2003,37.73099118,-122.4839859,TARAVAL,NONE,43,0,Lakeshore,"-122.48398590000002, 37.73099118",1
200 Block of 26TH AV,29,2,8,4,MOTOR VEHICLE THEFT,7041,3/18/2004 0:00,Thursday,"VEHICLE, RECOVERED, AUTO",40322626,1/1/1900 10:00,2004,37.78475058,-122.4860859,RICHMOND,NONE,2,0,Outer Richmond,"-122.48608590000002, 37.78475058",1
3RD ST / MCKINNON AV,1,2,2,9,DRUG/NARCOTIC,16710,6/6/2012 0:00,Wednesday,POSSESSION OF NARCOTICS PARAPHERNALIA,120448441,1/1/1900 19:05,2012,37.73639081,-122.3901467,BAYVIEW,"ARREST, BOOKED",86,1,Bayview Hunters Point,"-122.3901467, 37.73639081",1
HARRISON ST / 6TH ST,34,2,1,10,MOTOR VEHICLE THEFT,7025,9/20/2009 0:00,Sunday,STOLEN TRUCK,90972607,1/1/1900 9:00,2009,37.77727419,-122.4040716,SOUTHERN,NONE,32,0,South of Market,"-122.4040716, 37.77727419",1
1ST ST / LANSING ST,8,1,1,10,LARCENY/THEFT,6244,8/23/2008 0:00,Saturday,GRAND THEFT FROM LOCKED AUTO,86060957,1/1/1900 6:00,2008,37.78647431,-122.3934497,SOUTHERN,NONE,30,0,Financial District/South Beach,"-122.3934497, 37.78647431",1
6TH ST / HOWARD ST,34,2,1,10,OTHER OFFENSES,65016,8/30/2012 0:00,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",120692109,1/1/1900 10:09,2012,37.77973763,-122.407163,SOUTHERN,"ARREST, CITED",32,3,South of Market,"-122.40716299999998, 37.77973763",1
100 Block of LARKIN ST,36,2,5,10,FRAUD,9320,9/22/2010 0:00,Wednesday,"CREDIT CARD, THEFT BY USE OF",100883798,1/1/1900 14:22,2010,37.77913875,-122.4166077,NORTHERN,NONE,21,1,Tenderloin,"-122.4166077, 37.77913875",1
VISITACION AV / SCHWERIN ST,40,2,9,9,OTHER OFFENSES,65016,9/17/2003 0:00,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",31097024,1/1/1900 9:30,2003,37.71220587,-122.4106413,INGLESIDE,"ARREST, CITED",75,3,Visitacion Valley,"-122.4106413, 37.71220587",1
600 Block of EDDY ST,36,2,5,10,NON-CRIMINAL,72000,1/14/2007 0:00,Sunday,FOUND PROPERTY,70049339,1/1/1900 14:13,2007,37.7831499,-122.4183602,NORTHERN,UNFOUNDED,20,3,Tenderloin,"-122.4183602, 37.7831499",1
6TH ST / MINNA ST,34,2,1,10,SUSPICIOUS OCC,64085,4/8/2010 0:00,Thursday,INVESTIGATIVE DETENTION,100337444,1/1/1900 10:00,2010,37.78053454,-122.408163,SOUTHERN,LOCATED,32,1,South of Market,"-122.408163, 37.78053454",1
SACRAMENTO ST / STOCKTON ST,6,2,6,3,FRAUD,9320,4/22/2005 0:00,Friday,"CREDIT CARD, THEFT BY USE OF",50469694,1/1/1900 9:00,2005,37.7931773,-122.4077298,CENTRAL,NOT PROSECUTED,16,1,Chinatown,"-122.4077298, 37.7931773",1
